Generation,Max Fitness,Avg Fitness,Avg Time Taken (s),Max Time Taken (s)
0,910.0,294.8,5.9942052364349365,5.9942052364349365
1,1760.0,389.2,4.605653166770935,9.21130633354187
2,1220.0,311.8,4.0629347165425616,12.188804149627686
3,1060.0,315.8,3.7842522859573364,15.137009143829346
4,1100.0,318.8,3.6297416210174562,18.14870810508728
5,890.0,319.4,3.5138288736343384,21.08297324180603
6,1970.0,413.8,3.4416688850947788,24.091682195663452
7,590.0,306.4,3.3951372504234314,27.16109800338745
8,1020.0,381.8,3.3504355748494468,30.15392017364502
9,1210.0,339.4,3.3112126350402833,33.11212635040283
10,1020.0,367.8,3.286319212480025,36.14951133728027
11,1890.0,477.4,3.265196939309438,39.18236327171326
12,1180.0,376.2,3.2466700077056885,42.20671010017395
13,1120.0,340.0,3.2369185175214494,45.31685924530029
14,1140.0,407.8,3.227005132039388,48.40507698059082
15,1050.0,393.8,3.21406127512455,51.4249804019928
16,1100.0,461.6,3.208754721809836,54.54883027076721
17,2040.0,508.0,3.2173811859554715,57.912861347198486
18,1060.0,405.8,3.212969278034411,61.04641628265381
19,1060.0,455.4,3.2061484098434447,64.1229681968689
20,1300.0,519.6,3.2082511016300748,67.37327313423157
21,2250.0,577.2,3.2092560096220537,70.60363221168518
22,2340.0,599.4,3.2178899205249287,74.01146817207336
23,980.0,465.8,3.215772718191147,77.17854523658752
24,1290.0,537.2,3.217427282333374,80.43568205833435
25,1260.0,489.2,3.2155065811597385,83.6031711101532
26,1920.0,513.0,3.2127034487547697,86.74299311637878
27,2120.0,582.0,3.21818436895098,90.10916233062744
28,1520.0,624.2,3.2242644490866827,93.5036690235138
29,2220.0,673.2,3.2246630748112994,96.73989224433899
30,1760.0,609.6,3.225412361083492,99.98778319358826
31,1760.0,623.4,3.2296046018600464,103.34734725952148
32,1910.0,674.8,3.2328718864556514,106.6847722530365
33,2070.0,661.4,3.234604709288653,109.97656011581421
34,1250.0,643.2,3.2373105457850864,113.30586910247803
35,1730.0,691.0,3.241256614526113,116.68523812294006
36,1960.0,722.2,3.2438491679526664,120.02241921424866
37,1740.0,717.6,3.2497188229309883,123.48931527137756
38,1950.0,797.0,3.2510081071120043,126.78931617736816
39,1950.0,825.4,3.2575543999671934,130.30217599868774
40,2210.0,793.8,3.263270418818404,133.79408717155457
41,1920.0,763.0,3.268719026020595,137.286199092865
