Generation,Max Fitness,Avg Fitness,Avg Time Taken (s),Max Time Taken (s)
0,1020.0,274.8,11.064698696136475,11.064698696136475
1,1800.0,299.1,8.343817949295044,16.687635898590088
2,1730.0,340.8,7.412949641545613,22.23884892463684
3,1020.0,322.3,7.021620213985443,28.086480855941772
4,1440.0,348.9,6.792737770080566,33.96368885040283
5,1760.0,372.2,6.619619329770406,39.71771597862244
6,1070.0,341.8,6.473906823566982,45.31734776496887
7,1770.0,364.2,6.390320241451263,51.12256193161011
8,2050.0,355.3,6.313486973444621,56.82138276100159
9,2650.0,385.1,6.25627760887146,62.5627760887146
10,1450.0,358.7,6.212066520344127,68.3327317237854
11,1770.0,424.3,6.180018921693166,74.160227060318
12,2030.0,379.1,6.168318675114558,80.18814277648926
13,1850.0,426.8,6.1426995652062555,85.99779391288757
14,1810.0,447.4,6.121159060796102,91.81738591194153
15,1870.0,479.6,6.106363236904144,97.70181179046631
16,1270.0,383.7,6.08592975840849,103.46080589294434
17,2330.0,451.8,6.080283045768738,109.44509482383728
18,1370.0,451.7,6.074405682714362,115.41370797157288
19,1920.0,453.8,6.062235486507416,121.24470973014832
20,1820.0,477.9,6.060096854255313,127.26203393936157
21,2000.0,465.3,6.051405993374911,133.13093185424805
22,3630.0,508.4,6.044829420421435,139.031076669693
23,1790.0,508.2,6.043629874785741,145.0471169948578
24,1770.0,454.8,6.037719440460205,150.94298601150513
25,4070.0,560.6,6.03907468685737,157.01594185829163
26,1230.0,486.1,6.033368552172625,162.9009509086609
27,1850.0,561.8,6.029084026813507,168.8143527507782
28,2160.0,563.6,6.0269385124075,174.7812168598175
29,1890.0,642.7,6.035047992070516,181.05143976211548
30,2270.0,700.2,6.040238218922769,187.24738478660583
31,2090.0,612.6,6.044157147407532,193.41302871704102
32,3760.0,768.8,6.0478980830221465,199.58063673973083
33,2060.0,619.4,6.0468157038969155,205.59173393249512
34,1950.0,618.0,6.044485677991594,211.5569987297058
35,2760.0,673.4,6.043448275989956,217.56413793563843
36,2280.0,736.4,6.048581587301718,223.79751873016357
37,3390.0,754.8,6.049198865890503,229.8695569038391
38,3800.0,825.4,6.049999102568015,235.9499650001526
39,3290.0,763.2,6.050303322076798,242.0121328830719
40,2320.0,775.7,6.047411046377042,247.94385290145874
41,3710.0,815.5,6.0495773042951315,254.0822467803955
42,4040.0,846.7,6.048910063366558,260.10313272476196
43,3710.0,841.7,6.048154977234927,266.1188189983368
44,3740.0,1003.7,6.051972484588623,272.33876180648804
45,3670.0,1050.7,6.0544071715811025,278.5027298927307
46,4190.0,883.9,6.053814274199466,284.5292708873749
47,4720.0,1072.6,6.053432832161586,290.5647759437561
48,3880.0,975.3,6.048395628831824,296.3713858127594
49,3770.0,1284.9,6.051023516654968,302.5511758327484
50,3830.0,1137.9,6.049060269898059,308.502073764801
51,4230.0,1381.3,6.0526405939689045,314.73731088638306
52,3720.0,1123.5,6.052954997656481,320.80661487579346
53,5010.0,1261.2,6.0518406276349666,326.7993938922882
54,4660.0,1517.5,6.0584814721887765,333.2164809703827
55,3770.0,1440.9,6.063677817583084,339.5659577846527
56,3850.0,1432.0,6.064366838388276,345.6689097881317
57,4130.0,1353.6,6.062385328884782,351.6183490753174
58,4190.0,1028.4,6.057337793253236,357.3829298019409
59,3950.0,1319.8,6.056311865647634,363.37871193885803
60,4290.0,1400.5,6.05489266895857,369.3484528064728
61,4390.0,1532.0,6.055772935190508,375.4579219818115
62,4250.0,1497.5,6.055600646942381,381.50284075737
63,4030.0,1595.4,6.057240795344114,387.6634109020233
64,4230.0,1627.3,6.0571893361898566,393.7173068523407
65,3860.0,1596.1,6.058524861480251,399.86264085769653
66,4020.0,1553.5,6.059958191060308,406.01719880104065
67,4190.0,1702.7,6.062243924421423,412.23258686065674
68,4270.0,1588.3,6.059708229009656,418.11986780166626
69,4230.0,1596.3,6.059590983390808,424.17136883735657
70,3850.0,1593.3,6.0607281234902395,430.311696767807
71,4210.0,1523.4,6.059863554106818,436.3101758956909
72,3920.0,1499.2,6.0599568314748264,442.37684869766235
73,4320.0,1503.7,6.059654351827261,448.4144220352173
74,4470.0,1398.1,6.059659862518311,454.4744896888733
75,4350.0,1506.4,6.06062765811619,460.60770201683044
76,3760.0,1505.5,6.062644698403099,466.8236417770386
77,4360.0,1551.7,6.061915843914717,472.8294358253479
78,4140.0,1534.8,6.065836505044865,479.2010838985443
79,3910.0,1435.3,6.068231385946274,485.4585108757019
80,3860.0,1637.3,6.0711769115777665,491.7653298377991
81,4350.0,1323.7,6.07160037610589,497.871230840683
82,4540.0,1507.9,6.072727467640337,504.03637981414795
83,3830.0,1611.4,6.073313128380549,510.15830278396606
84,4230.0,1668.0,6.076590891445385,516.5102257728577
85,4160.0,1710.7,6.076475833737573,522.5769217014313
